recipe,recipe_source,count,promoted,tombstoned,promotion_rate,exact_selected,mutated_selected,exact_rescues,exact_outscored_mutated,comparable_template_runs,mutated_wins_over_exact,exact_rescue_rate,exact_selected_rate,mutated_win_rate,avg_mutation_delta,avg_score,avg_positive_score,best_score,best_seed,family_classification,recipe_policy,recipe_sampling_weight_multiplier,recipe_cap_share,source_batches
discovered_recipe_006,discovery_recipe_validation,36,36,0,1.0,27,9,16,6,27,7,0.4444,0.75,0.2593,-34.5689,66.8516,66.8516,75.3234,76,template_locked,template_locked,1.1,0.3,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
discovered_recipe_003,discovery_recipe_validation,23,23,0,1.0,13,10,8,4,13,5,0.3478,0.5652,0.3846,-22.0016,67.4487,67.4487,79.8725,136,template_guarded,template_guarded,1.05,0.3,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
mean_reversion_reclaim,curated_recipe_prior,19,12,7,0.6316,0,19,0,0,0,0,0.0,0.0,,,39.928,63.2193,75.1727,36,unstable,unstable,1.0,0.2,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
trend_pullback_continuation,curated_recipe_prior,9,3,6,0.3333,0,9,0,0,0,0,0.0,0.0,,,20.1208,60.3623,71.3145,50,unstable,unstable,0.6,0.12,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
breakout_compression_release,curated_recipe_prior,8,4,4,0.5,0,8,0,0,0,0,0.0,0.0,,,34.0321,68.0642,73.6126,23,unstable,unstable,0.85,0.18,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
discovered_recipe_001,discovery_recipe_validation,5,4,1,0.8,4,1,1,1,2,0,0.2,0.8,0.0,-1.1104,43.3691,54.2114,54.3919,10,template_guarded,template_guarded,1.0,0.25,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
discovered_recipe_002,discovery_recipe_validation,4,4,0,1.0,1,3,1,0,3,2,0.25,0.25,0.6667,1.4131,57.3987,57.3987,64.186,45,unstable,unstable,1.05,0.3,"playhand-prior-test-clean-100,playhand-prior-test-clean-50"
profile_value_context,curated_recipe_prior,4,2,2,0.5,0,4,0,0,0,0,0.0,0.0,,,30.1564,60.3127,64.9186,111,unstable,unstable,0.85,0.18,playhand-prior-test-clean-100
discovered_recipe_007,discovery_recipe_validation,1,1,0,1.0,1,0,1,0,1,0,1.0,1.0,0.0,-73.1507,73.1507,73.1507,73.1507,128,under_sampled,under_sampled,1.05,0.3,playhand-prior-test-clean-100
discovered_recipe_005,discovery_recipe_validation,1,1,0,1.0,1,0,0,0,0,0,0.0,1.0,,,55.8845,55.8845,55.8845,42,under_sampled,under_sampled,1.05,0.3,playhand-prior-test-clean-50
