source,recipe,first_indicator_id,second_indicator_id,ordered_pair_id,unordered_pair_id,probe_timeframe,probe_id,retention_bucket,validation_score,retention_ratio,discovery_evidence_score,discovery_evidence_probe_id,signal_count,best_expectancy_r,best_trades,best_profit_factor,negative_reason,negative_weight
discovery_recipe_validation,discovered_recipe_002,RSI_CROSSBACK,TOBY_CRABEL_NARROW_RANGE,RSI_CROSSBACK->TOBY_CRABEL_NARROW_RANGE,RSI_CROSSBACK+TOBY_CRABEL_NARROW_RANGE,M5,drv-0002-r002-rsi-crossback-toby-crabel-narrow-m5,failed_retention,0.0,0.0,78.3601,dp-0152-rsi-crossback-toby-crabel-narrow-m5,211.0,0.0878,211,1.1136,positive_discovery_collapsed,1.5
discovery_recipe_validation,discovered_recipe_001,TOBY_CRABEL_NARROW_RANGE,RSI_CROSSBACK,TOBY_CRABEL_NARROW_RANGE->RSI_CROSSBACK,RSI_CROSSBACK+TOBY_CRABEL_NARROW_RANGE,M5,drv-0001-r001-toby-crabel-narrow-rsi-crossback-m5,failed_retention,0.0,0.0,78.3601,dp-0252-toby-crabel-narrow-rsi-crossback-m5,211.0,0.0878,211,1.1136,positive_discovery_collapsed,1.5
discovery_recipe_validation,discovered_recipe_003,BOLLINGER_KELTNER_SQUEEZE_RELEASE,OBV_MEAN_REVERSION,BOLLINGER_KELTNER_SQUEEZE_RELEASE->OBV_MEAN_REVERSION,BOLLINGER_KELTNER_SQUEEZE_RELEASE+OBV_MEAN_REVERSION,M5,drv-0011-r003-bollinger-keltner-obv-mean-reversion-m5,failed_retention,0.0,0.0,76.2815,dp-9980-bollinger-keltner-obv-mean-reversion-m5,300.0,0.0322,299,1.0763,positive_discovery_collapsed,1.5
discovery_recipe_validation,discovered_recipe_005,OBV_MEAN_REVERSION,BOLLINGER_KELTNER_SQUEEZE_RELEASE,OBV_MEAN_REVERSION->BOLLINGER_KELTNER_SQUEEZE_RELEASE,BOLLINGER_KELTNER_SQUEEZE_RELEASE+OBV_MEAN_REVERSION,M5,drv-0014-r005-obv-mean-reversion-bollinger-keltner-m5,failed_retention,0.0,0.0,76.2815,dp-3083-obv-mean-reversion-bollinger-keltner-m5,300.0,0.0322,299,1.0763,positive_discovery_collapsed,1.5
discovery_recipe_validation,discovered_recipe_001,MARKET_MODE_TRANSITION,MA_SPREAD_MEAN_REVERSION,MARKET_MODE_TRANSITION->MA_SPREAD_MEAN_REVERSION,MARKET_MODE_TRANSITION+MA_SPREAD_MEAN_REVERSION,M15,drv-0019-r001-market-mode-transi-ma-spread-mean-rev-m15,failed_retention,0.0,0.0,75.5434,dp-9670-market-mode-transi-ma-spread-mean-rev-m15,285.0,0.0483,282,1.2535,positive_discovery_collapsed,1.5
discovery_recipe_validation,discovered_recipe_002,CHANNEL_REENTRY,TOBY_CRABEL_NARROW_RANGE,CHANNEL_REENTRY->TOBY_CRABEL_NARROW_RANGE,CHANNEL_REENTRY+TOBY_CRABEL_NARROW_RANGE,M5,drv-0004-r002-channel-reentry-toby-crabel-narrow-m5,failed_retention,0.0,0.0,75.3942,dp-0106-channel-reentry-toby-crabel-narrow-m5,269.0,-0.0121,269,1.0163,positive_discovery_collapsed,1.5
discovery_recipe_validation,discovered_recipe_001,TOBY_CRABEL_NARROW_RANGE,CHANNEL_REENTRY,TOBY_CRABEL_NARROW_RANGE->CHANNEL_REENTRY,CHANNEL_REENTRY+TOBY_CRABEL_NARROW_RANGE,M5,drv-0003-r001-toby-crabel-narrow-channel-reentry-m5,failed_retention,0.0,0.0,75.3942,dp-0076-toby-crabel-narrow-channel-reentry-m5,269.0,-0.0121,269,1.0163,positive_discovery_collapsed,1.5
discovery_recipe_validation,discovered_recipe_003,BOLLINGER_KELTNER_SQUEEZE_RELEASE,MA_SPREAD_MEAN_REVERSION,BOLLINGER_KELTNER_SQUEEZE_RELEASE->MA_SPREAD_MEAN_REVERSION,BOLLINGER_KELTNER_SQUEEZE_RELEASE+MA_SPREAD_MEAN_REVERSION,M15,drv-0016-r003-bollinger-keltner-ma-spread-mean-rev-m15,failed_retention,0.0,0.0,71.8689,dp-11787-bollinger-keltner-ma-spread-mean-rev-m15,59.0,0.0799,59,1.2236,positive_discovery_collapsed,1.5
discovery_recipe_validation,discovered_recipe_004,TOBY_CRABEL_NARROW_RANGE,WAVETREND_CROSSOVER,TOBY_CRABEL_NARROW_RANGE->WAVETREND_CROSSOVER,TOBY_CRABEL_NARROW_RANGE+WAVETREND_CROSSOVER,M5,drv-0020-r004-toby-crabel-narrow-wavetrend-crossove-m5,failed_retention,42.452,0.5997,70.7945,dp-0578-toby-crabel-narrow-wavetrend-crossove-m5,877.0,0.0554,870,1.0781,retention_failed,1.0
discovery_recipe_validation,discovered_recipe_004,WAVETREND_CROSSOVER,TOBY_CRABEL_NARROW_RANGE,WAVETREND_CROSSOVER->TOBY_CRABEL_NARROW_RANGE,TOBY_CRABEL_NARROW_RANGE+WAVETREND_CROSSOVER,M5,drv-0021-r004-wavetrend-crossove-toby-crabel-narrow-m5,failed_retention,42.452,0.5997,70.7945,dp-0233-wavetrend-crossove-toby-crabel-narrow-m5,877.0,0.0554,870,1.0781,retention_failed,1.0
